id,code,name,country_id/id
state_sv_01,01,Ahuachapán,base.sv
state_sv_02,02,Santa Ana,base.sv
state_sv_03,03,Sonsonate,base.sv
state_sv_04,04,Chalatenango,base.sv
state_sv_05,05,La Libertad,base.sv
state_sv_06,06,San Salvador,base.sv
state_sv_07,07,Cuscatlán,base.sv
state_sv_08,08,La Paz,base.sv
state_sv_09,09,Cabañas,base.sv
state_sv_10,10,San Vicente,base.sv
state_sv_11,11,Usulután,base.sv
state_sv_12,12,San Miguel,base.sv
state_sv_13,13,Morazán,base.sv
state_sv_14,14,La Unión,base.sv
