id,name,zip_id/id
district_sv_010101,Ahuachapán,l10n_sv_base_location.zip_sv_0101_02101
district_sv_010102,Apaneca,l10n_sv_base_location.zip_sv_0101_02102
district_sv_010104,Concepción de Ataco,l10n_sv_base_location.zip_sv_0101_02106
district_sv_010111,Tacuba,l10n_sv_base_location.zip_sv_0101_02117
district_sv_010203,Atiquizaya,l10n_sv_base_location.zip_sv_0102_02103
district_sv_010205,El Refugio,l10n_sv_base_location.zip_sv_0102_02107
district_sv_010209,San Lorenzo,l10n_sv_base_location.zip_sv_0102_02115
district_sv_010212,Turín,l10n_sv_base_location.zip_sv_0102_02118
district_sv_010306,Guaymango,l10n_sv_base_location.zip_sv_0103_02108
district_sv_010307,Jujutla,l10n_sv_base_location.zip_sv_0103_02109
district_sv_010308,San Francisco Menéndez,l10n_sv_base_location.zip_sv_0103_02113
district_sv_010310,San Pedro Puxtla,l10n_sv_base_location.zip_sv_0103_02116
district_sv_020110,Santa Ana,l10n_sv_base_location.zip_sv_0201_02201
district_sv_020202,Coatepeque,l10n_sv_base_location.zip_sv_0202_02204
district_sv_020204,El Congo,l10n_sv_base_location.zip_sv_0202_02207
district_sv_020306,Masahuat,l10n_sv_base_location.zip_sv_0203_02210
district_sv_020307,Metapán,l10n_sv_base_location.zip_sv_0203_02211
district_sv_020311,Santa Rosa Guachipilín,l10n_sv_base_location.zip_sv_0203_02216
district_sv_020313,Texistepeque,l10n_sv_base_location.zip_sv_0203_02218
district_sv_020401,Candelaria de la Frontera,l10n_sv_base_location.zip_sv_0204_02203
district_sv_020403,Chalchuapa,l10n_sv_base_location.zip_sv_0204_02205
district_sv_020405,El Porvenir,l10n_sv_base_location.zip_sv_0204_02208
district_sv_020408,San Antonio Pajonal,l10n_sv_base_location.zip_sv_0204_02212
district_sv_020409,San Sebastián Salitrillo,l10n_sv_base_location.zip_sv_0204_02215
district_sv_020412,Santiago de la Frontera,l10n_sv_base_location.zip_sv_0204_02217
district_sv_030109,Nahulingo,l10n_sv_base_location.zip_sv_0301_02312
district_sv_030111,San Antonio del Monte,l10n_sv_base_location.zip_sv_0301_02314
district_sv_030114,Santo Domingo de Guzmán,l10n_sv_base_location.zip_sv_0301_02319
district_sv_030115,Sonsonate,l10n_sv_base_location.zip_sv_0301_02301
district_sv_030116,Sonzacate,l10n_sv_base_location.zip_sv_0301_02320
district_sv_030202,Armenia,l10n_sv_base_location.zip_sv_0302_02303
district_sv_030203,Caluco,l10n_sv_base_location.zip_sv_0302_02304
district_sv_030204,Cuisnahuat,l10n_sv_base_location.zip_sv_0302_02305
district_sv_030205,Santa Isabel Ishuatán,l10n_sv_base_location.zip_sv_0302_02318
district_sv_030206,Izalco,l10n_sv_base_location.zip_sv_0302_02306
district_sv_030212,San Julián,l10n_sv_base_location.zip_sv_0302_02316
district_sv_030307,Juayúa,l10n_sv_base_location.zip_sv_0303_02307
district_sv_030308,Nahuizalco,l10n_sv_base_location.zip_sv_0303_02311
district_sv_030310,Salcoatitán,l10n_sv_base_location.zip_sv_0303_02313
district_sv_030313,Santa Catarina Masahuat,l10n_sv_base_location.zip_sv_0303_02317
district_sv_030401,Acajutla,l10n_sv_base_location.zip_sv_0304_02302
district_sv_040101,Agua Caliente,l10n_sv_base_location.zip_sv_0401_01302
district_sv_040108,Dulce Nombre de María,l10n_sv_base_location.zip_sv_0401_01309
district_sv_040110,El Paraíso,l10n_sv_base_location.zip_sv_0401_01312
district_sv_040113,La Reina,l10n_sv_base_location.zip_sv_0401_01315
district_sv_040116,Nueva Concepción,l10n_sv_base_location.zip_sv_0401_01319
district_sv_040122,San Fernando,l10n_sv_base_location.zip_sv_0401_01326
district_sv_040124,San Francisco Morazán,l10n_sv_base_location.zip_sv_0401_01328
district_sv_040131,San Rafael,l10n_sv_base_location.zip_sv_0401_01333
district_sv_040132,Santa Rita,l10n_sv_base_location.zip_sv_0401_01334
district_sv_040133,Tejutla,l10n_sv_base_location.zip_sv_0401_01335
district_sv_040204,Citalá,l10n_sv_base_location.zip_sv_0402_01306
district_sv_040212,La Palma,l10n_sv_base_location.zip_sv_0402_01314
district_sv_040225,San Ignacio,l10n_sv_base_location.zip_sv_0402_01329
district_sv_040302,Arcatao,l10n_sv_base_location.zip_sv_0403_01303
district_sv_040303,Azacualpa,l10n_sv_base_location.zip_sv_0403_01304
