id,code,name
l10n_sv_export_regime_EX-1.1000.000,EX-1.1000.000,"Exportación Definitiva, Exportación Definitiva, Régimen Común"
l10n_sv_export_regime_EX-1.1040.000,EX-1.1040.000,"Exportación Definitiva, Exportación Definitiva Sustitución de Mercancías, Régimen Común"
l10n_sv_export_regime_EX-1.1041.020,EX-1.1041.020,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Provisional, Frang. Presidenciales exento de DAI"
l10n_sv_export_regime_EX-1.1041.021,EX-1.1041.021,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Provisional, Frang. Presidenciales exento de DAI e IVA"
l10n_sv_export_regime_EX-1.1048.025,EX-1.1048.025,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Maquinaria y Equipo LZF. DPA"
l10n_sv_export_regime_EX-1.1048.031,EX-1.1048.031,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Distribución Internacional"
l10n_sv_export_regime_EX-1.1048.032,EX-1.1048.032,"Exportación Definitiva, Exportación Definitiva Proveniente. de Franquicia Definitiva, Operaciones Internacionales de Logística"
l10n_sv_export_regime_EX-1.1048.033,EX-1.1048.033,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Centro Internacional de llamadas (Call Center)"
l10n_sv_export_regime_EX-1.1048.034,EX-1.1048.034,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Tecnologías de Información LSI"
l10n_sv_export_regime_EX-1.1048.035,EX-1.1048.035,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Investigación y Desarrollo LSI"
l10n_sv_export_regime_EX-1.1048.036,EX-1.1048.036,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Reparación y Mantenimiento de Embarcaciones Marítimas LSI"
l10n_sv_export_regime_EX-1.1048.037,EX-1.1048.037,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Reparación y Mantenimiento de Aeronaves LSI"
l10n_sv_export_regime_EX-1.1048.038,EX-1.1048.038,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Procesos Empresariales LSI"
l10n_sv_export_regime_EX-1.1048.039,EX-1.1048.039,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Servicios Médico-Hospitalarios LSI"
l10n_sv_export_regime_EX-1.1048.040,EX-1.1048.040,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Servicios Financieros Internacionales LSI"
l10n_sv_export_regime_EX-1.1048.043,EX-1.1048.043,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Reparación y Mantenimiento de Contenedores LSI"
l10n_sv_export_regime_EX-1.1048.044,EX-1.1048.044,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Reparación de Equipos Tecnológicos LSI"
l10n_sv_export_regime_EX-1.1048.054,EX-1.1048.054,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Atención Ancianos y Convalecientes LSI"
l10n_sv_export_regime_EX-1.1048.055,EX-1.1048.055,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Telemedicina LSI"
l10n_sv_export_regime_EX-1.1048.056,EX-1.1048.056,"Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Cinematografía LSI"
l10n_sv_export_regime_EX-1.1052.000,EX-1.1052.000,"Exportación Definitiva, Exportación Definitiva de DPA con origen en Compras Locales, Régimen Común"
l10n_sv_export_regime_EX-1.1054.000,EX-1.1054.000,"Exportación Definitiva, Exportación Definitiva de Zona Franca con origen en Compras Locales, Régimen Común"
l10n_sv_export_regime_EX-1.1100.000,EX-1.1100.000,"Exportación Definitiva, Exportación Definitiva de Envíos de Socorro, Régimen Común"
l10n_sv_export_regime_EX-1.1200.000,EX-1.1200.000,"Exportación Definitiva, Exportación Definitiva de Envíos Postales, Régimen Común"
l10n_sv_export_regime_EX-1.1300.000,EX-1.1300.000,"Exportación Definitiva, Exportación Definitiva Envíos que requieren despacho urgente, Régimen Común"
l10n_sv_export_regime_EX-1.1400.000,EX-1.1400.000,"Exportación Definitiva, Exportación Definitiva Courier, Régimen Común"
l10n_sv_export_regime_EX-1.1400.011,EX-1.1400.011,"Exportación Definitiva, Exportación Definitiva Courier, Muestras Sin Valor Comercial"
l10n_sv_export_regime_EX-1.1400.012,EX-1.1400.012,"Exportación Definitiva, Exportación Definitiva Courier, Material Publicitario"
l10n_sv_export_regime_EX-1.1400.017,EX-1.1400.017,"Exportación Definitiva, Exportación Definitiva Courier, Declaración de Documentos"
l10n_sv_export_regime_EX-1.1500.000,EX-1.1500.000,"Exportación Definitiva, Exportación Definitiva Menaje de casa, Régimen Común"
l10n_sv_export_regime_EX-2.2100.000,EX-2.2100.000,"Exportación Temporal, Exportación Temporal para Perfeccionamiento Pasivo, Régimen Común"
l10n_sv_export_regime_EX-2.2200.000,EX-2.2200.000,"Exportación Temporal, Exportación Temporal con Reimportación en el mismo estado, Régimen Común"
l10n_sv_export_regime_EX-2.2400.000,EX-2.2400.000,Traslados Definitivos
l10n_sv_export_regime_EX-3.3050.000,EX-3.3050.000,"Re-Exportación, Reexportación Proveniente de Importación Temporal, Régimen Común"
l10n_sv_export_regime_EX-3.3051.000,EX-3.3051.000,"Re-Exportación, Reexportación Proveniente de Tiendas Libres, Régimen Común"
l10n_sv_export_regime_EX-3.3052.000,EX-3.3052.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal para Perfeccionamiento Activo, Régimen Común"
l10n_sv_export_regime_EX-3.3053.000,EX-3.3053.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal, Régimen Común"
l10n_sv_export_regime_EX-3.3054.000,EX-3.3054.000,"Re-Exportación, Reexportación Proveniente de Régimen de Zona Franca, Régimen Común"
l10n_sv_export_regime_EX-3.3055.000,EX-3.3055.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal para Perfeccionamiento Activo con Garantía, Régimen Común"
l10n_sv_export_regime_EX-3.3056.000,EX-3.3056.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Régimen Común"
l10n_sv_export_regime_EX-3.3056.057,EX-3.3056.057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
l10n_sv_export_regime_EX-3.3056.058,EX-3.3056.058,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
l10n_sv_export_regime_EX-3.3056.072,EX-3.3056.072,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Decreto 738 Eléctricos e Híbridos"
l10n_sv_export_regime_EX-3.3057.000,EX-3.3057.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Régimen Común"
l10n_sv_export_regime_EX-3.3057.057,EX-3.3057.057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
l10n_sv_export_regime_EX-3.3057.058,EX-3.3057.058,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
l10n_sv_export_regime_EX-3.3058.033,EX-3.3058.033,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Centro Internacional de llamadas (Call Center)"
l10n_sv_export_regime_EX-3.3058.036,EX-3.3058.036,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Embarcaciones Marítimas LSI"
l10n_sv_export_regime_EX-3.3058.037,EX-3.3058.037,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Aeronaves LSI"
l10n_sv_export_regime_EX-3.3058.043,EX-3.3058.043,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Contenedores LSI"
l10n_sv_export_regime_EX-3.3059.000,EX-3.3059.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Régimen Común"
l10n_sv_export_regime_EX-3.3059.057,EX-3.3059.057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
