id,code,name
l10n_sv_fiscal_warehouse_01,01,Terrestre San Bartolo
l10n_sv_fiscal_warehouse_02,02,Marítima de Acajutla
l10n_sv_fiscal_warehouse_03,03,Aérea De Comalapa
l10n_sv_fiscal_warehouse_04,04,Terrestre Las Chinamas
l10n_sv_fiscal_warehouse_05,05,Terrestre La Hachadura
l10n_sv_fiscal_warehouse_06,06,Terrestre Santa Ana
l10n_sv_fiscal_warehouse_07,07,Terrestre San Cristóbal
l10n_sv_fiscal_warehouse_08,08,Terrestre Anguiatú
l10n_sv_fiscal_warehouse_09,09,Terrestre El Amatillo
l10n_sv_fiscal_warehouse_10,10,Marítima La Unión
l10n_sv_fiscal_warehouse_11,11,Terrestre El Poy
l10n_sv_fiscal_warehouse_12,12,Terrestre Metalío
l10n_sv_fiscal_warehouse_15,15,Fardos Postales
l10n_sv_fiscal_warehouse_16,16,Z.F. San Marcos
l10n_sv_fiscal_warehouse_17,17,Z.F. El Pedregal
l10n_sv_fiscal_warehouse_18,18,Z.F. San Bartolo
l10n_sv_fiscal_warehouse_20,20,Z.F. Exportsalva
l10n_sv_fiscal_warehouse_21,21,Z.F. American Park
l10n_sv_fiscal_warehouse_23,23,Z.F. Internacional
l10n_sv_fiscal_warehouse_24,24,Z.F. Diez
l10n_sv_fiscal_warehouse_26,26,Z.F. Miramar
l10n_sv_fiscal_warehouse_27,27,Z.F. Santo Tomas
l10n_sv_fiscal_warehouse_28,28,Z.F. Santa Tecla
l10n_sv_fiscal_warehouse_29,29,Z.F. Santa Ana
l10n_sv_fiscal_warehouse_30,30,Z.F. La Concordia
l10n_sv_fiscal_warehouse_31,31,Aérea Ilopango
l10n_sv_fiscal_warehouse_32,32,Z.F. Pipil
l10n_sv_fiscal_warehouse_33,33,Puerto Barillas
l10n_sv_fiscal_warehouse_34,34,Z.F. Calvo Conservas
l10n_sv_fiscal_warehouse_35,35,Feria Internacional
l10n_sv_fiscal_warehouse_36,36,Aduana El Papalón
l10n_sv_fiscal_warehouse_37,37,Z.F. Sam-Li
l10n_sv_fiscal_warehouse_38,38,Z.F. San José
l10n_sv_fiscal_warehouse_39,39,Z.F. Las Mercedes
l10n_sv_fiscal_warehouse_40,40,Z.F. EMCO
l10n_sv_fiscal_warehouse_41,41,Z.F. Gigante
l10n_sv_fiscal_warehouse_71,71,Aldesa
l10n_sv_fiscal_warehouse_72,72,Agdosa Merliot
l10n_sv_fiscal_warehouse_73,73,Bodesa
l10n_sv_fiscal_warehouse_76,76,Delegacion DHL
l10n_sv_fiscal_warehouse_77,77,Transauto
l10n_sv_fiscal_warehouse_80,80,Nejapa
l10n_sv_fiscal_warehouse_81,81,Almaconsa
l10n_sv_fiscal_warehouse_83,83,Agdosa Apopa
l10n_sv_fiscal_warehouse_85,85,Gutiérrez Courier Y Cargo
l10n_sv_fiscal_warehouse_99,99,San Bartolo Envío Hn/Gt
