id,code
uom.product_uom_hour,99
uom.product_uom_day,99
uom.product_uom_millimeter,6
uom.product_uom_cm,99
uom.product_uom_inch,99
uom.product_uom_foot,99
uom.product_uom_yard,2
uom.product_uom_meter,1
uom.product_uom_km,99
uom.product_uom_mile,99
uom.product_uom_gram,39
uom.product_uom_oz,38
uom.product_uom_lb,36
uom.product_uom_kgm,34
uom.product_uom_ton,30
uom.uom_square_foot,99
uom.uom_square_meter,13
uom.product_uom_unit,59
uom.product_uom_dozen,58
uom.product_uom_cubic_inch,99
uom.product_uom_floz,99
uom.product_uom_qt,99
uom.product_uom_litre,23
uom.product_uom_gal,22
uom.product_uom_cubic_foot,99
uom.product_uom_cubic_meter,18
